Date,Adj_Close
2021-04-08,19228.900390625
2021-04-09,19228.0
2021-04-12,19201.30078125
2021-04-13,19203.69921875
2021-04-14,19171.69921875
2021-04-15,19321.900390625
2021-04-16,19351.30078125
2021-04-19,19204.400390625
2021-04-20,19040.80078125
2021-04-21,19143.30078125
2021-04-22,19031.599609375
2021-04-23,19102.30078125
2021-04-26,19170.599609375
2021-04-27,19175.099609375
2021-04-28,19357.0
2021-04-29,19255.900390625
2021-04-30,19108.30078125
2021-05-03,19213.19921875
2021-05-04,19188.0
2021-05-05,19310.69921875
2021-05-06,19291.0
2021-05-07,19472.69921875
2021-05-10,19361.900390625
2021-05-11,19274.0
2021-05-12,19107.80078125
2021-05-13,19135.80078125
2021-05-14,19366.69921875
2021-05-17,19474.69921875
2021-05-18,19507.099609375
2021-05-19,19417.0
2021-05-20,19543.0
2021-05-21,19527.30078125
2021-05-25,19564.099609375
2021-05-26,19745.5
2021-05-27,19774.400390625
2021-05-28,19852.19921875
2021-05-31,19731.0
2021-06-01,19976.0
2021-06-02,19971.19921875
2021-06-03,19941.400390625
2021-06-04,20029.19921875
2021-06-07,20035.30078125
2021-06-08,20065.900390625
2021-06-09,20002.30078125
2021-06-10,20049.5
2021-06-11,20138.400390625
2021-06-14,20157.69921875
2021-06-15,20231.30078125
2021-06-16,20231.0
2021-06-17,20144.0
2021-06-18,19999.599609375
2021-06-21,20156.400390625
2021-06-22,20200.69921875
2021-06-23,20164.400390625
2021-06-24,20215.099609375
2021-06-25,20230.30078125
2021-06-28,20145.30078125
2021-06-29,20171.0
2021-06-30,20165.599609375
2021-07-02,20226.099609375
2021-07-05,20281.5
2021-07-06,20300.0
2021-07-07,20290.599609375
2021-07-08,20061.19921875
2021-07-09,20258.0
2021-07-12,20233.099609375
2021-07-13,20270.69921875
2021-07-14,20147.19921875
2021-07-15,20183.69921875
2021-07-16,19985.5
2021-07-19,19726.5
2021-07-20,19942.69921875
2021-07-21,20110.099609375
2021-07-22,20097.5
2021-07-23,20188.400390625
2021-07-26,20165.0
2021-07-27,20173.400390625
2021-07-28,20230.400390625
2021-07-29,20311.80078125
2021-07-30,20287.80078125
2021-08-03,20365.900390625
2021-08-04,20329.69921875
2021-08-05,20375.5
2021-08-06,20475.400390625
2021-08-09,20437.400390625
2021-08-10,20495.69921875
2021-08-11,20554.0
2021-08-12,20520.599609375
2021-08-13,20518.099609375
2021-08-16,20483.400390625
2021-08-17,20363.599609375
2021-08-18,20302.099609375
2021-08-19,20215.400390625
2021-08-20,20339.0
