Date,Adj_Close
2021-04-09,384.3246154785156
2021-04-12,384.46478271484375
2021-04-13,385.604248046875
2021-04-14,384.287353515625
2021-04-15,388.4154052734375
2021-04-16,389.71368408203125
2021-04-19,387.799072265625
2021-04-20,384.959716796875
2021-04-21,388.6022644042969
2021-04-22,385.0531921386719
2021-04-23,389.2280578613281
2021-04-26,390.0406494140625
2021-04-27,389.9565124511719
2021-04-28,389.8444519042969
2021-04-29,392.32891845703125
2021-04-30,389.7511291503906
2021-05-03,390.5916748046875
2021-05-04,388.1820068359375
2021-05-05,388.30340576171875
2021-05-06,391.404296875
2021-05-07,394.25286865234375
2021-05-10,390.34881591796875
2021-05-11,386.8650817871094
2021-05-12,378.64599609375
2021-05-13,383.1945495605469
2021-05-14,389.07861328125
2021-05-17,388.0885925292969
2021-05-18,384.7449951171875
2021-05-19,383.7361755371094
2021-05-20,387.8644104003906
2021-05-21,387.5469055175781
2021-05-24,391.4976501464844
2021-05-25,390.6290283203125
2021-05-26,391.404296875
2021-05-27,391.6097717285156
2021-05-28,392.31024169921875
2021-06-01,391.9646301269531
2021-06-02,392.5810241699219
2021-06-03,391.1239929199219
2021-06-04,394.7012023925781
2021-06-07,394.3182678222656
2021-06-08,394.4023742675781
2021-06-09,393.81390380859375
2021-06-10,395.6444091796875
2021-06-11,396.29833984375
2021-06-14,397.1855773925781
2021-06-15,396.4570617675781
2021-06-16,394.2435302734375
2021-06-17,394.1127624511719
2021-06-18,388.7960205078125
2021-06-21,394.362060546875
2021-06-22,396.4703674316406
2021-06-23,395.9925231933594
2021-06-24,398.3351135253906
2021-06-25,399.75
2021-06-28,400.555908203125
2021-06-29,400.7713928222656
2021-06-30,401.1087341308594
2021-07-01,403.32952880859375
2021-07-02,406.4122619628906
2021-07-06,405.672119140625
2021-07-07,407.1058044433594
2021-07-08,403.7886657714844
2021-07-09,408.09906005859375
2021-07-12,409.5607604980469
2021-07-13,408.1646728515625
2021-07-14,408.773681640625
2021-07-15,407.3774719238281
2021-07-16,404.1822204589844
2021-07-19,398.21331787109375
2021-07-20,403.9198303222656
2021-07-21,407.1901550292969
2021-07-22,408.0427551269531
2021-07-23,412.24078369140625
2021-07-26,413.2527160644531
2021-07-27,411.36932373046875
2021-07-28,411.2005920410156
2021-07-29,412.906005859375
2021-07-30,410.9007568359375
2021-08-02,410.03875732421875
2021-08-03,413.3744812011719
2021-08-04,411.3411560058594
2021-08-05,413.94622802734375
2021-08-06,414.63018798828125
2021-08-09,414.2928771972656
2021-08-10,414.80816650390625
2021-08-11,415.8389587402344
2021-08-12,417.085205078125
2021-08-13,417.84423828125
2021-08-16,418.828125
2021-08-17,416.0826721191406
2021-08-18,411.528564453125
2021-08-19,412.1658020019531
2021-08-20,415.44537353515625
2021-08-23,419.099853515625
2021-08-24,419.7652282714844
2021-08-25,420.64599609375
2021-08-26,418.16278076171875
2021-08-27,421.901611328125
2021-08-30,423.7569580078125
2021-08-31,423.1291809082031
2021-09-01,423.3540344238281
2021-09-02,424.656494140625
2021-09-03,424.553466796875
2021-09-07,423.035400390625
2021-09-08,422.5201110839844
2021-09-09,420.7115783691406
2021-09-10,417.3944396972656
2021-09-13,418.4626770019531
2021-09-14,416.2044372558594
2021-09-15,419.6808166503906
2021-09-16,419.0155334472656
2021-09-17,414.933837890625
2021-09-20,408.01513671875
2021-09-21,407.62982177734375
2021-09-22,411.6061096191406
2021-09-23,416.6071472167969
2021-09-24,417.2934265136719
2021-09-27,416.0995178222656
2021-09-28,407.71435546875
2021-09-29,408.40057373046875
2021-09-30,403.40899658203125
2021-10-01,408.2032470703125
2021-10-04,402.9389343261719
2021-10-05,407.13153076171875
2021-10-06,408.8235778808594
2021-10-07,412.358154296875
2021-10-08,411.6061096191406
2021-10-11,408.6262512207031
2021-10-12,407.6204528808594
2021-10-13,409.08685302734375
2021-10-14,415.9678955078125
2021-10-15,419.13580322265625
2021-10-18,420.37677001953125
2021-10-19,423.6199035644531
2021-10-20,425.28375244140625
2021-10-21,426.3929748535156
2021-10-22,425.9511413574219
2021-10-25,428.2354431152344
2021-10-26,428.62091064453125
2021-10-27,426.7220458984375
2021-10-28,430.83935546875
2021-10-29,431.7135314941406
2021-11-01,432.45623779296875
2021-11-02,434.2047424316406
2021-11-03,436.8556823730469
2021-11-04,438.9143371582031
2021-11-05,440.4372253417969
2021-11-08,440.8132019042969
2021-11-09,439.3561706542969
2021-11-10,435.82159423828125
2021-11-11,435.96258544921875
2021-11-12,439.2526550292969
2021-11-15,439.4031066894531
2021-11-16,441.1422424316406
2021-11-17,440.0706481933594
2021-11-18,441.5652770996094
2021-11-19,440.7756042480469
2021-11-22,439.5346984863281
2021-11-23,440.1175842285156
2021-11-24,441.2926330566406
2021-11-26,431.4504089355469
2021-11-29,436.7428283691406
2021-11-30,428.24481201171875
2021-12-01,423.4883117675781
2021-12-02,429.97454833984375
2021-12-03,426.23321533203125
2021-12-06,431.28118896484375
2021-12-07,440.2021789550781
2021-12-08,441.3677673339844
2021-12-09,438.3879089355469
2021-12-10,442.5146179199219
2021-12-13,438.5947570800781
2021-12-14,435.5771789550781
2021-12-15,442.3830871582031
2021-12-16,438.4819030761719
2021-12-17,433.8152160644531
2021-12-20,429.2023010253906
2021-12-21,436.82452392578125
2021-12-22,441.19207763671875
2021-12-23,443.937255859375
2021-12-27,450.2200012207031
2021-12-28,449.8520202636719
2021-12-29,450.4274597167969
2021-12-30,449.1822814941406
2021-12-31,448.05029296875
2022-01-03,450.64447021484375
2022-01-04,450.49346923828125
2022-01-05,441.843017578125
2022-01-06,441.4280090332031
2022-01-07,439.6827697753906
2022-01-10,439.13568115234375
2022-01-11,443.1353759765625
2022-01-12,444.3334655761719
2022-01-13,438.21112060546875
2022-01-14,438.3903503417969
2022-01-18,430.6266784667969
2022-01-19,426.15521240234375
2022-01-20,421.4385070800781
2022-01-21,413.1654357910156
2022-01-24,414.9200134277344
2022-01-25,409.85430908203125
2022-01-26,408.8260803222656
2022-01-27,406.80731201171875
2022-01-28,416.91046142578125
2022-01-31,424.4194641113281
2022-02-01,427.2873229980469
2022-02-02,431.43798828125
2022-02-03,421.2970275878906
2022-02-04,423.278076171875
2022-02-07,421.9196472167969
2022-02-08,425.3912048339844
2022-02-09,431.6171875
2022-02-10,423.8629455566406
2022-02-11,415.5049133300781
2022-02-14,414.1465148925781
2022-02-15,420.82537841796875
2022-02-16,421.2970275878906
2022-02-17,412.2974853515625
2022-02-18,409.6278991699219
2022-02-22,405.2319641113281
2022-02-23,398.0437316894531
2022-02-24,404.0338134765625
2022-02-25,412.94842529296875
2022-02-28,411.89190673828125
2022-03-01,405.61865234375
2022-03-02,413.0805969238281
2022-03-03,411.0239562988281
2022-03-04,407.68463134765625
2022-03-07,395.66644287109375
2022-03-08,392.6666259765625
2022-03-09,403.1942443847656
2022-03-10,401.3736572265625
2022-03-11,396.27020263671875
